1440
0	1113
1	993
1	1348
2	1396
2	1036
2	18
3	991
4	798
5	727
6	233
7	351
7	1094
8	382
9	532
9	302
10	83
11	391
11	363
11	1027
11	37
12	388
13	382
14	409
14	1127
15	953
16	1013
17	388
18	1168
18	1036
19	382
20	388
21	1288
22	541
23	382
24	382
24	867
25	585
25	973
26	1042
26	366
27	1363
28	331
29	522
30	382
30	448
30	352
30	1015
31	388
32	57
32	1042
32	97
33	818
34	1363
35	382
35	263
36	960
36	1437
38	946
38	54
39	500
40	391
40	902
41	855
42	914
43	382
43	668
43	381
43	582
43	691
44	382
44	216
45	388
45	461
45	1279
45	860
45	470
45	232
46	388
46	1117
47	1042
48	992
48	986
48	837
49	388
49	856
49	1010
49	300
50	233
50	363
51	382
51	397
52	388
52	1320
53	1042
53	1254
53	1208
53	351
54	388
54	136
55	388
55	616
55	1437
55	666
55	424
56	1153
57	388
57	858
58	1402
58	914
59	382
59	122
60	409
60	447
61	1042
62	855
63	194
64	68
64	82
65	1124
66	1272
66	1148
66	473
67	133
68	382
68	745
68	926
69	1361
69	993
70	1103
70	689
71	457
71	882
72	1042
72	518
73	382
73	1430
74	855
75	981
75	363
76	388
76	946
76	931
77	946
77	1279
77	834
77	935
78	492
78	992
79	1042
79	1113
80	1042
81	855
81	956
82	382
82	904
82	988
82	1031
83	855
83	1374
84	855
85	855
85	501
86	946
87	569
88	991
88	382
88	1420
89	382
90	388
91	532
92	388
92	614
93	382
94	1042
94	288
95	855
95	785
96	382
96	341
96	1311
97	351
97	1308
97	833
98	1042
98	1144
98	829
99	382
99	1379
99	1154
100	388
101	1031
102	388
102	563
103	236
104	388
104	1126
104	260
104	940
104	1061
105	1346
106	388
106	1250
106	1347
106	602
106	600
107	382
108	388
108	516
108	386
108	1188
108	1254
108	154
108	432
108	351
109	388
109	1386
110	1425
111	382
111	1435
111	1000
112	1394
113	388
114	1070
115	1042
115	548
115	606
115	901
116	388
117	1124
118	124
118	1411
118	992
119	844
119	585
119	165
119	329
120	991
121	1397
122	585
123	382
123	1307
123	999
125	902
125	1231
125	1225
125	405
126	1122
127	388
128	388
128	909
129	351
130	388
130	1142
131	855
132	388
132	809
133	1127
133	272
133	1357
134	233
134	1422
134	650
135	1240
135	1024
136	1042
137	141
138	1100
138	995
139	1042
140	1042
141	1042
141	1044
141	188
141	212
141	366
141	1251
142	1035
142	689
143	183
143	1344
144	1042
145	388
145	1408
145	816
146	236
147	353
148	235
149	343
150	382
150	307
151	382
151	1173
151	822
152	233
152	1064
153	522
155	165
156	1425
157	1425
158	503
159	363
160	1042
160	1279
160	1345
160	232
160	819
160	196
161	1042
162	382
162	1284
163	946
163	288
164	388
164	412
164	1388
165	1396
165	585
165	687
166	363
167	855
167	1229
167	761
167	1225
167	405
167	1039
168	1025
168	331
169	382
170	855
170	321
171	388
171	607
172	946
173	604
174	692
175	382
175	586
176	388
177	1422
177	1211
178	953
179	388
180	388
180	969
180	343
181	382
182	1127
183	388
183	293
183	294
183	1347
183	1285
183	694
184	473
184	432
185	692
185	670
185	686
185	480
185	818
185	810
185	717
186	1042
187	638
188	600
189	388
189	943
190	994
191	500
192	1422
192	363
192	1021
193	388
193	841
193	493
193	443
194	1425
194	235
194	728
194	533
194	575
195	388
196	1079
196	724
197	474
198	902
198	1149
198	680
198	1302
199	382
199	1109
199	712
200	324
200	988
201	902
202	1425
203	382
204	522
205	382
206	1289
206	957
207	1042
208	382
209	855
210	382
210	846
210	1332
210	357
210	1009
211	382
213	716
214	388
214	535
214	824
214	1202
215	382
215	372
215	433
215	957
216	382
216	706
216	903
216	677
217	382
217	465
218	382
219	1042
219	958
220	388
220	330
221	1396
221	848
222	1425
222	590
223	532
223	1401
224	710
225	1127
225	1294
226	388
226	754
227	514
228	585
228	1284
229	855
230	382
231	382
231	689
232	1042
232	819
232	1019
233	382
233	656
233	241
233	1167
233	904
233	1289
233	912
234	388
234	494
235	262
235	1191
235	513
235	1433
235	697
235	375
235	603
235	1170
235	542
235	698
235	699
235	662
235	1045
235	951
235	374
236	382
236	396
236	1196
237	382
237	751
238	382
238	1054
238	506
238	653
238	796
238	489
239	382
239	450
240	382
241	1397
242	388
242	1423
242	1118
242	742
243	855
244	1042
244	1337
244	518
245	928
246	382
246	1156
247	382
247	254
247	599
247	1283
248	902
249	585
249	925
250	263
251	1425
252	1378
253	609
253	1291
254	1313
255	765
255	316
256	382
257	382
258	956
259	388
259	913
259	963
259	1176
259	1123
260	1042
260	915
261	382
263	382
263	390
263	956
263	1351
263	1333
263	1129
263	1438
263	1226
263	941
264	1042
264	1251
265	1103
265	363
265	784
266	382
266	672
267	382
268	331
269	1042
270	388
270	453
271	1422
272	382
272	1141
273	640
274	1425
275	1396
275	1022
276	877
277	388
277	713
278	353
279	331
279	914
280	1031
281	1042
282	351
283	710
284	388
284	647
285	388
285	1047
285	1223
