tiempo	I(t)
3.190000	4.437622
3.200000	4.456243
3.210000	4.474900
3.220000	4.493592
3.230000	4.512321
3.240000	4.531085
3.250000	4.549886
3.260000	4.568722
3.270000	4.587595
3.280000	4.606504
3.290000	4.625450
3.300000	4.644432
3.310000	4.663450
3.320000	4.682505
3.330000	4.701597
3.340000	4.720725
3.350000	4.739890
3.360000	4.759092
3.370000	4.778330
3.380000	4.797606
3.390000	4.816918
3.400000	4.836268
3.410000	4.855655
3.420000	4.875079
3.430000	4.894540
3.440000	4.914039
3.450000	4.933575
3.460000	4.953148
3.470000	4.972760
3.480000	4.992408
3.490000	5.012095
3.500000	5.031819
3.510000	5.051581
3.520000	5.071381
3.530000	5.091219
3.540000	5.111095
3.550000	5.131009
3.560000	5.150961
3.570000	5.170951
3.580000	5.190980
3.590000	5.211047
3.600000	5.231153
3.610000	5.251297
3.620000	5.271480
3.630000	5.291701
3.640000	5.311962
3.650000	5.332261
3.660000	5.352598
3.670000	5.372975
3.680000	5.393391
3.690000	5.413846
3.700000	5.434340
3.710000	5.454873
3.720000	5.475446
3.730000	5.496058
3.740000	5.516710
3.750000	5.537401
3.760000	5.558131
3.770000	5.578901
3.780000	5.599711
3.790000	5.620561
3.800000	5.641451
3.810000	5.662381
3.820000	5.683350
3.830000	5.704360
3.840000	5.725410
3.850000	5.746500
3.860000	5.767631
3.870000	5.788802
3.880000	5.810013
3.890000	5.831265
3.900000	5.852557
3.910000	5.873891
3.920000	5.895265
3.930000	5.916679
3.940000	5.938135
3.950000	5.959632
3.960000	5.981169
3.970000	6.002748
3.980000	6.024368
3.990000	6.046030
4.000000	6.067733
4.010000	6.089477
4.020000	6.111262
4.030000	6.133090
4.040000	6.154959
4.050000	6.176869
4.060000	6.198822
4.070000	6.220816
4.080000	6.242852
4.090000	6.264931
4.100000	6.287051
4.110000	6.309214
4.120000	6.331418
4.130000	6.353666
4.140000	6.375955
4.150000	6.398287
4.160000	6.420662
4.170000	6.443079
4.180000	6.465539
4.190000	6.488042
4.200000	6.510588
4.210000	6.533177
4.220000	6.555808
4.230000	6.578483
4.240000	6.601201
4.250000	6.623962
4.260000	6.646767
4.270000	6.669615
4.280000	6.692507
4.290000	6.715442
4.300000	6.738420
4.310000	6.761443
4.320000	6.784509
4.330000	6.807619
4.340000	6.830773
4.350000	6.853972
4.360000	6.877214
4.370000	6.900500
4.380000	6.923831
4.390000	6.947206
4.400000	6.970626
4.410000	6.994090
4.420000	7.017599
4.430000	7.041152
4.440000	7.064751
4.450000	7.088394
4.460000	7.112082
4.470000	7.135815
4.480000	7.159593
4.490000	7.183416
4.500000	7.207284
4.510000	7.231198
4.520000	7.255157
4.530000	7.279162
4.540000	7.303212
4.550000	7.327308
4.560000	7.351450
4.570000	7.375637
4.580000	7.399871
4.590000	7.424150
4.600000	7.448475
4.610000	7.472847
4.620000	7.497265
4.630000	7.521729
4.640000	7.546239
4.650000	7.570796
4.660000	7.595400
4.670000	7.620050
4.680000	7.644747
4.690000	7.669491
4.700000	7.694281
4.710000	7.719119
4.720000	7.744003
4.730000	7.768935
4.740000	7.793914
4.750000	7.818941
4.760000	7.844014
4.770000	7.869135
4.780000	7.894304
4.790000	7.919521
4.800000	7.944785
4.810000	7.970097
4.820000	7.995456
4.830000	8.020864
4.840000	8.046320
4.850000	8.071824
4.860000	8.097377
4.870000	8.122977
4.880000	8.148626
4.890000	8.174324
4.900000	8.200070
4.910000	8.225865
4.920000	8.251708
4.930000	8.277601
4.940000	8.303542
4.950000	8.329533
4.960000	8.355572
4.970000	8.381661
4.980000	8.407799
4.990000	8.433986
5.000000	8.460223
5.010000	8.486509
5.020000	8.512845
5.030000	8.539231
5.040000	8.565666
5.050000	8.592151
5.060000	8.618687
5.070000	8.645272
5.080000	8.671908
5.090000	8.698594
5.100000	8.725330
5.110000	8.752116
5.120000	8.778953
5.130000	8.805841
5.140000	8.832779
5.150000	8.859768
5.160000	8.886809
5.170000	8.913899
5.180000	8.941042
5.190000	8.968235
5.200000	8.995479
5.210000	9.022775
5.220000	9.050122
5.230000	9.077521
5.240000	9.104971
5.250000	9.132473
5.260000	9.160026
5.270000	9.187632
5.280000	9.215289
5.290000	9.242999
5.300000	9.270760
5.310000	9.298574
5.320000	9.326441
5.330000	9.354359
5.340000	9.382330
5.350000	9.410354
5.360000	9.438430
5.370000	9.466560
5.380000	9.494742
5.390000	9.522977
5.400000	9.551265
5.410000	9.579606
5.420000	9.608000
5.430000	9.636448
5.440000	9.664949
5.450000	9.693504
5.460000	9.722112
5.470000	9.750774
5.480000	9.779490
5.490000	9.808260
5.500000	9.837084
5.510000	9.865962
5.520000	9.894894
5.530000	9.923880
5.540000	9.952921
5.550000	9.982016
5.560000	10.011165
5.570000	10.040370
5.580000	10.069629
5.590000	10.098943
5.600000	10.128312
5.610000	10.157736
5.620000	10.187215
5.630000	10.216749
5.640000	10.246338
5.650000	10.275983
5.660000	10.305684
5.670000	10.335440
5.680000	10.365252
5.690000	10.395119
5.700000	10.425043
5.710000	10.455022
5.720000	10.485058
5.730000	10.515150
5.740000	10.545298
5.750000	10.575502
5.760000	10.605763
5.770000	10.636081
5.780000	10.666455
5.790000	10.696886
5.800000	10.727374
5.810000	10.757919
5.820000	10.788521
5.830000	10.819180
5.840000	10.849896
5.850000	10.880670
5.860000	10.911501
5.870000	10.942390
5.880000	10.973336
5.890000	11.004341
5.900000	11.035403
5.910000	11.066523
5.920000	11.097701
5.930000	11.128937
5.940000	11.160232
5.950000	11.191585
5.960000	11.222996
5.970000	11.254466
5.980000	11.285994
5.990000	11.317582
6.000000	11.349228
6.010000	11.380933
6.020000	11.412698
6.030000	11.444521
6.040000	11.476404
6.050000	11.508346
6.060000	11.540347
6.070000	11.572409
6.080000	11.604529
6.090000	11.636710
6.100000	11.668951
6.110000	11.701251
6.120000	11.733612
6.130000	11.766032
6.140000	11.798514
6.150000	11.831055
6.160000	11.863657
6.170000	11.896320
6.180000	11.929043
6.190000	11.961827
6.200000	11.994672
6.210000	12.027578
6.220000	12.060545
6.230000	12.093574
6.240000	12.126664
6.250000	12.159815
6.260000	12.193028
6.270000	12.226302
6.280000	12.259638
6.290000	12.293036
6.300000	12.326496
6.310000	12.360018
6.320000	12.393602
6.330000	12.427249
6.340000	12.460958
6.350000	12.494729
6.360000	12.528563
6.370000	12.562460
6.380000	12.596419
6.390000	12.630442
6.400000	12.664527
6.410000	12.698676
6.420000	12.732888
6.430000	12.767163
6.440000	12.801502
6.450000	12.835904
6.460000	12.870370
6.470000	12.904899
6.480000	12.939493
6.490000	12.974150
6.500000	13.008872
6.510000	13.043658
6.520000	13.078508
6.530000	13.113423
6.540000	13.148402
6.550000	13.183445
6.560000	13.218554
6.570000	13.253727
6.580000	13.288966
6.590000	13.324269
6.600000	13.359638
6.610000	13.395072
6.620000	13.430571
6.630000	13.466136
6.640000	13.501766
6.650000	13.537463
6.660000	13.573225
6.670000	13.609053
6.680000	13.644947
6.690000	13.680907
6.700000	13.716934
6.710000	13.753027
6.720000	13.789186
6.730000	13.825412
6.740000	13.861705
6.750000	13.898065
6.760000	13.934492
6.770000	13.970985
6.780000	14.007546
6.790000	14.044175
6.800000	14.080870
6.810000	14.117634
6.820000	14.154464
6.830000	14.191363
6.840000	14.228329
6.850000	14.265364
6.860000	14.302466
6.870000	14.339637
6.880000	14.376876
6.890000	14.414184
6.900000	14.451560
6.910000	14.489004
6.920000	14.526518
6.930000	14.564100
6.940000	14.601752
6.950000	14.639472
6.960000	14.677262
6.970000	14.715121
6.980000	14.753049
6.990000	14.791047
7.000000	14.829115
7.010000	14.867253
7.020000	14.905460
7.030000	14.943738
7.040000	14.982086
7.050000	15.020504
7.060000	15.058992
7.070000	15.097551
7.080000	15.136181
7.090000	15.174881
7.100000	15.213652
7.110000	15.252494
7.120000	15.291407
7.130000	15.330392
7.140000	15.369447
7.150000	15.408575
7.160000	15.447773
7.170000	15.487044
7.180000	15.526386
7.190000	15.565800
7.200000	15.605286
7.210000	15.644844
7.220000	15.684475
7.230000	15.724178
7.240000	15.763953
7.250000	15.803801
7.260000	15.843722
7.270000	15.883716
7.280000	15.923783
7.290000	15.963923
7.300000	16.004136
7.310000	16.044422
7.320000	16.084782
7.330000	16.125215
7.340000	16.165722
7.350000	16.206303
7.360000	16.246958
7.370000	16.287687
7.380000	16.328490
7.390000	16.369368
7.400000	16.410320
7.410000	16.451346
7.420000	16.492447
7.430000	16.533623
7.440000	16.574874
7.450000	16.616200
7.460000	16.657601
7.470000	16.699077
7.480000	16.740629
7.490000	16.782256
7.500000	16.823959
7.510000	16.865738
7.520000	16.907592
7.530000	16.949523
7.540000	16.991530
7.550000	17.033613
7.560000	17.075772
7.570000	17.118008
7.580000	17.160321
7.590000	17.202710
7.600000	17.245176
7.610000	17.287719
7.620000	17.330340
7.630000	17.373037
7.640000	17.415812
7.650000	17.458665
7.660000	17.501595
7.670000	17.544603
7.680000	17.587689
7.690000	17.630852
7.700000	17.674094
7.710000	17.717414
7.720000	17.760813
7.730000	17.804290
7.740000	17.847846
7.750000	17.891480
7.760000	17.935194
7.770000	17.978986
7.780000	18.022858
7.790000	18.066809
7.800000	18.110839
7.810000	18.154949
7.820000	18.199138
7.830000	18.243407
7.840000	18.287756
7.850000	18.332186
7.860000	18.376695
7.870000	18.421284
7.880000	18.465955
7.890000	18.510705
7.900000	18.555536
7.910000	18.600448
7.920000	18.645441
7.930000	18.690516
7.940000	18.735671
7.950000	18.780907
7.960000	18.826225
7.970000	18.871625
7.980000	18.917106
7.990000	18.962670
8.000000	19.008315
8.010000	19.054042
8.020000	19.099852
8.030000	19.145743
8.040000	19.191718
8.050000	19.237775
8.060000	19.283915
8.070000	19.330137
8.080000	19.376443
8.090000	19.422832
8.100000	19.469304
8.110000	19.515859
8.120000	19.562498
8.130000	19.609221
8.140000	19.656027
8.150000	19.702918
8.160000	19.749892
8.170000	19.796951
8.180000	19.844094
8.190000	19.891322
8.200000	19.938634
8.210000	19.986030
8.220000	20.033512
8.230000	20.081079
8.240000	20.128731
8.250000	20.176468
8.260000	20.224290
8.270000	20.272198
8.280000	20.320192
8.290000	20.368272
8.300000	20.416437
8.310000	20.464689
8.320000	20.513026
8.330000	20.561450
8.340000	20.609961
8.350000	20.658558
8.360000	20.707242
8.370000	20.756013
8.380000	20.804871
8.390000	20.853816
8.400000	20.902848
8.410000	20.951967
8.420000	21.001175
8.430000	21.050470
8.440000	21.099852
8.450000	21.149323
8.460000	21.198882
8.470000	21.248529
8.480000	21.298264
8.490000	21.348088
8.500000	21.398001
8.510000	21.448002
8.520000	21.498092
8.530000	21.548272
8.540000	21.598540
8.550000	21.648898
8.560000	21.699346
8.570000	21.749883
8.580000	21.800509
8.590000	21.851226
8.600000	21.902032
8.610000	21.952929
8.620000	22.003916
8.630000	22.054994
8.640000	22.106162
8.650000	22.157421
8.660000	22.208771
8.670000	22.260211
8.680000	22.311743
8.690000	22.363366
8.700000	22.415081
8.710000	22.466887
8.720000	22.518785
8.730000	22.570774
8.740000	22.622856
8.750000	22.675030
8.760000	22.727295
8.770000	22.779654
8.780000	22.832105
8.790000	22.884648
8.800000	22.937285
8.810000	22.990014
8.820000	23.042837
8.830000	23.095752
8.840000	23.148761
8.850000	23.201864
8.860000	23.255060
8.870000	23.308350
8.880000	23.361734
8.890000	23.415213
8.900000	23.468785
8.910000	23.522452
8.920000	23.576213
8.930000	23.630069
8.940000	23.684020
8.950000	23.738066
8.960000	23.792206
8.970000	23.846442
8.980000	23.900774
8.990000	23.955201
9.000000	24.009723
9.010000	24.064342
9.020000	24.119056
9.030000	24.173867
9.040000	24.228773
9.050000	24.283777
9.060000	24.338876
9.070000	24.394073
9.080000	24.449366
9.090000	24.504756
9.100000	24.560243
9.110000	24.615828
9.120000	24.671509
9.130000	24.727289
9.140000	24.783166
9.150000	24.839141
9.160000	24.895214
9.170000	24.951385
9.180000	25.007654
9.190000	25.064022
9.200000	25.120488
9.210000	25.177053
9.220000	25.233717
9.230000	25.290480
9.240000	25.347342
9.250000	25.404304
9.260000	25.461364
9.270000	25.518525
9.280000	25.575785
9.290000	25.633145
9.300000	25.690605
9.310000	25.748165
9.320000	25.805826
9.330000	25.863587
9.340000	25.921448
9.350000	25.979411
9.360000	26.037474
9.370000	26.095639
9.380000	26.153904
9.390000	26.212271
9.400000	26.270740
9.410000	26.329310
9.420000	26.387982
9.430000	26.446756
9.440000	26.505632
9.450000	26.564610
9.460000	26.623691
9.470000	26.682874
9.480000	26.742160
9.490000	26.801549
9.500000	26.861041
9.510000	26.920636
9.520000	26.980334
9.530000	27.040136
9.540000	27.100042
9.550000	27.160051
9.560000	27.220164
9.570000	27.280381
9.580000	27.340702
9.590000	27.401128
9.600000	27.461658
9.610000	27.522293
9.620000	27.583033
9.630000	27.643877
9.640000	27.704827
9.650000	27.765882
9.660000	27.827042
9.670000	27.888308
9.680000	27.949680
9.690000	28.011157
9.700000	28.072741
9.710000	28.134431
9.720000	28.196227
9.730000	28.258129
9.740000	28.320139
9.750000	28.382255
9.760000	28.444478
9.770000	28.506808
9.780000	28.569245
9.790000	28.631789
9.800000	28.694442
9.810000	28.757202
9.820000	28.820069
9.830000	28.883045
9.840000	28.946129
9.850000	29.009321
9.860000	29.072622
9.870000	29.136031
9.880000	29.199549
9.890000	29.263176
9.900000	29.326913
9.910000	29.390758
9.920000	29.454713
9.930000	29.518777
9.940000	29.582951
9.950000	29.647235
9.960000	29.711629
9.970000	29.776133
9.980000	29.840747
9.990000	29.905472
10.000000	29.970308
10.010000	30.035254
10.020000	30.100311
10.030000	30.165479
10.040000	30.230759
10.050000	30.296150
10.060000	30.361652
10.070000	30.427267
10.080000	30.492993
