n	1.0e-04	1.0e-03	1.0e-02	1.0e-01	1.0e+00	1.0e+01	1.0e+02	1.0e+03	1.0e+04
65	0.666663	0.666632	0.666325	0.663265	0.634146	0.440678	0.108787	0.012751	0.001297	
66	0.666663	0.666633	0.666330	0.663317	0.634615	0.442953	0.110184	0.012944	0.001317	
67	0.666663	0.666634	0.666335	0.663366	0.635071	0.445183	0.111574	0.013136	0.001337	
68	0.666663	0.666634	0.666340	0.663415	0.635514	0.447368	0.112957	0.013328	0.001357	
69	0.666663	0.666634	0.666345	0.663462	0.635945	0.449511	0.114333	0.013520	0.001377	
70	0.666663	0.666635	0.666349	0.663507	0.636364	0.451613	0.115702	0.013712	0.001397	
71	0.666664	0.666635	0.666354	0.663551	0.636771	0.453674	0.117065	0.013904	0.001417	
72	0.666664	0.666636	0.666358	0.663594	0.637168	0.455696	0.118421	0.014096	0.001437	
73	0.666664	0.666636	0.666362	0.663636	0.637555	0.457680	0.119770	0.014287	0.001457	
74	0.666664	0.666637	0.666367	0.663677	0.637931	0.459627	0.121113	0.014479	0.001477	
75	0.666664	0.666637	0.666371	0.663717	0.638298	0.461538	0.122449	0.014670	0.001497	
76	0.666664	0.666637	0.666374	0.663755	0.638655	0.463415	0.123779	0.014861	0.001517	
77	0.666664	0.666638	0.666378	0.663793	0.639004	0.465257	0.125102	0.015052	0.001536	
78	0.666664	0.666638	0.666382	0.663830	0.639344	0.467066	0.126418	0.015243	0.001556	
79	0.666664	0.666639	0.666385	0.663866	0.639676	0.468843	0.127728	0.015434	0.001576	
80	0.666664	0.666639	0.666389	0.663900	0.640000	0.470588	0.129032	0.015625	0.001596	
81	0.666664	0.666639	0.666392	0.663934	0.640316	0.472303	0.130330	0.015816	0.001616	
82	0.666664	0.666640	0.666396	0.663968	0.640625	0.473988	0.131621	0.016006	0.001636	
83	0.666664	0.666640	0.666399	0.664000	0.640927	0.475645	0.132906	0.016197	0.001656	
84	0.666664	0.666640	0.666402	0.664032	0.641221	0.477273	0.134185	0.016387	0.001676	
85	0.666664	0.666641	0.666405	0.664062	0.641509	0.478873	0.135458	0.016577	0.001696	
86	0.666664	0.666641	0.666408	0.664093	0.641791	0.480447	0.136725	0.016767	0.001716	
87	0.666664	0.666641	0.666411	0.664122	0.642066	0.481994	0.137986	0.016957	0.001735	
88	0.666664	0.666641	0.666414	0.664151	0.642336	0.483516	0.139241	0.017147	0.001755	
89	0.666664	0.666642	0.666417	0.664179	0.642599	0.485014	0.140489	0.017337	0.001775	
90	0.666664	0.666642	0.666420	0.664207	0.642857	0.486486	0.141732	0.017527	0.001795	
91	0.666664	0.666642	0.666423	0.664234	0.643110	0.487936	0.142969	0.017716	0.001815	
92	0.666664	0.666643	0.666425	0.664260	0.643357	0.489362	0.144201	0.017906	0.001835	
93	0.666664	0.666643	0.666428	0.664286	0.643599	0.490765	0.145426	0.018095	0.001855	
94	0.666664	0.666643	0.666430	0.664311	0.643836	0.492147	0.146646	0.018284	0.001875	
95	0.666664	0.666643	0.666433	0.664336	0.644068	0.493506	0.147860	0.018474	0.001895	
96	0.666664	0.666644	0.666435	0.664360	0.644295	0.494845	0.149068	0.018663	0.001914	
97	0.666664	0.666644	0.666438	0.664384	0.644518	0.496164	0.150271	0.018851	0.001934	
98	0.666664	0.666644	0.666440	0.664407	0.644737	0.497462	0.151468	0.019040	0.001954	
99	0.666664	0.666644	0.666442	0.664430	0.644951	0.498741	0.152660	0.019229	0.001974	
100	0.666664	0.666644	0.666445	0.664452	0.645161	0.500000	0.153846	0.019417	0.001994	
101	0.666664	0.666645	0.666447	0.664474	0.645367	0.501241	0.155027	0.019606	0.002014	
