0.000000	1.000000000000e-02	1.000000000000e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
0.100000	1.019890752387e-02	1.019889732496e-02	1.274862654721e-09	3.693833788302e-16	2.549725644502e-09	2.549725113310e-09	2.549725446735e-09	1.274863069869e-09
0.200000	1.040167697103e-02	1.040165616769e-02	2.600417544562e-09	1.506910106152e-15	5.200836456010e-09	5.200834288994e-09	5.200835649215e-09	2.600419238169e-09
0.300000	1.060837951579e-02	1.060834769065e-02	3.978141931999e-09	3.457930859502e-15	7.956287000616e-09	7.956282027931e-09	7.956285149251e-09	3.978145818348e-09
0.400000	1.081908749045e-02	1.081904421403e-02	5.409549504269e-09	6.269553160257e-15	1.081910469552e-08	1.081909567958e-08	1.081910133882e-08	5.409556550585e-09
0.500000	1.103387439785e-02	1.103381922829e-02	6.896191122997e-09	9.990695549321e-15	1.379239130835e-08	1.379237694121e-08	1.379238595937e-08	6.896202351487e-09
0.600000	1.125281492375e-02	1.125274740646e-02	8.439655584133e-09	1.467214311000e-14	1.687932447706e-08	1.687930337776e-08	1.687931662166e-08	8.439672074080e-09
0.700000	1.147598494901e-02	1.147590461639e-02	1.004157038807e-08	2.036660436041e-14	2.008315925026e-08	2.008312996204e-08	2.008314834607e-08	1.004159327800e-08
0.800000	1.170346156163e-02	1.170336793273e-02	1.170360251986e-08	2.712876953769e-14	2.340722964765e-08	2.340719063510e-08	2.340721512305e-08	1.170363300976e-08
0.900000	1.193532306857e-02	1.193521564880e-02	1.342745923940e-08	3.501537029589e-14	2.685495024048e-08	2.685489988661e-08	2.685493149346e-08	1.342749859301e-08
1.000000	1.217164900739e-02	1.217152728815e-02	1.521488888140e-08	4.408524083949e-14	3.042981775158e-08	3.042975435478e-08	3.042979414861e-08	1.521493842861e-08
1.100000	1.241252015756e-02	1.241238361595e-02	1.706768166512e-08	5.439938051390e-14	3.413541267474e-08	3.413533444570e-08	3.413538354967e-08	1.706774280435e-08
1.200000	1.265801855166e-02	1.265786665010e-02	1.898767051343e-08	6.602101787421e-14	3.797540091310e-08	3.797530597158e-08	3.797536556591e-08	1.898774471419e-08
1.300000	1.290822748615e-02	1.290805967206e-02	2.097673188135e-08	7.901567625292e-14	4.195353543611e-08	4.195342180765e-08	4.195349313170e-08	2.097682068677e-08
1.400000	1.316323153195e-02	1.316304723739e-02	2.303678659352e-08	9.345124084717e-14	4.607365795462e-08	4.607352356713e-08	4.607360792156e-08	2.303689162303e-08
1.500000	1.342311654466e-02	1.342291518594e-02	2.516980069058e-08	1.093980273453e-13	5.033970061370e-08	5.033954329397e-08	5.033964204290e-08	2.516992364264e-08
