tb	Rb
3.190000	2.944075
3.200000	2.943967
3.210000	2.943859
3.220000	2.943751
3.230000	2.943642
3.240000	2.943533
3.250000	2.943424
3.260000	2.943315
3.270000	2.943205
3.280000	2.943096
3.290000	2.942986
3.300000	2.942876
3.310000	2.942765
3.320000	2.942655
3.330000	2.942544
3.340000	2.942433
3.350000	2.942322
3.360000	2.942211
3.370000	2.942099
3.380000	2.941987
3.390000	2.941876
3.400000	2.941763
3.410000	2.941651
3.420000	2.941539
3.430000	2.941426
3.440000	2.941313
3.450000	2.941200
3.460000	2.941086
3.470000	2.940973
3.480000	2.940859
3.490000	2.940745
3.500000	2.940631
3.510000	2.940516
3.520000	2.940402
3.530000	2.940287
3.540000	2.940172
3.550000	2.940056
3.560000	2.939941
3.570000	2.939825
3.580000	2.939709
3.590000	2.939593
3.600000	2.939477
3.610000	2.939360
3.620000	2.939244
3.630000	2.939127
3.640000	2.939009
3.650000	2.938892
3.660000	2.938774
3.670000	2.938657
3.680000	2.938539
3.690000	2.938420
3.700000	2.938302
3.710000	2.938183
3.720000	2.938064
3.730000	2.937945
3.740000	2.937826
3.750000	2.937706
3.760000	2.937586
3.770000	2.937466
3.780000	2.937346
3.790000	2.937226
3.800000	2.937105
3.810000	2.936984
3.820000	2.936863
3.830000	2.936742
3.840000	2.936620
3.850000	2.936499
3.860000	2.936377
3.870000	2.936254
3.880000	2.936132
3.890000	2.936009
3.900000	2.935886
3.910000	2.935763
3.920000	2.935640
3.930000	2.935516
3.940000	2.935393
3.950000	2.935269
3.960000	2.935144
3.970000	2.935020
3.980000	2.934895
3.990000	2.934770
4.000000	2.934645
4.010000	2.934520
4.020000	2.934394
4.030000	2.934268
4.040000	2.934142
4.050000	2.934016
4.060000	2.933890
4.070000	2.933763
4.080000	2.933636
4.090000	2.933509
4.100000	2.933381
4.110000	2.933254
4.120000	2.933126
4.130000	2.932998
4.140000	2.932869
4.150000	2.932741
4.160000	2.932612
4.170000	2.932483
4.180000	2.932353
4.190000	2.932224
4.200000	2.932094
4.210000	2.931964
4.220000	2.931834
4.230000	2.931703
4.240000	2.931573
4.250000	2.931442
4.260000	2.931311
4.270000	2.931179
4.280000	2.931048
4.290000	2.930916
4.300000	2.930784
4.310000	2.930651
4.320000	2.930519
4.330000	2.930386
4.340000	2.930253
4.350000	2.930119
4.360000	2.929986
4.370000	2.929852
4.380000	2.929718
4.390000	2.929584
4.400000	2.929449
4.410000	2.929314
4.420000	2.929179
4.430000	2.929044
4.440000	2.928909
4.450000	2.928773
4.460000	2.928637
4.470000	2.928501
4.480000	2.928364
4.490000	2.928227
4.500000	2.928091
4.510000	2.927953
4.520000	2.927816
4.530000	2.927678
4.540000	2.927540
4.550000	2.927402
4.560000	2.927264
4.570000	2.927125
4.580000	2.926986
4.590000	2.926847
4.600000	2.926707
4.610000	2.926568
4.620000	2.926428
4.630000	2.926287
4.640000	2.926147
4.650000	2.926006
4.660000	2.925865
4.670000	2.925724
4.680000	2.925583
4.690000	2.925441
4.700000	2.925299
4.710000	2.925157
4.720000	2.925014
4.730000	2.924871
4.740000	2.924728
4.750000	2.924585
4.760000	2.924442
4.770000	2.924298
4.780000	2.924154
4.790000	2.924010
4.800000	2.923865
4.810000	2.923720
4.820000	2.923575
4.830000	2.923430
4.840000	2.923284
4.850000	2.923139
4.860000	2.922993
4.870000	2.922846
4.880000	2.922700
4.890000	2.922553
4.900000	2.922406
4.910000	2.922258
4.920000	2.922111
4.930000	2.921963
4.940000	2.921814
4.950000	2.921666
4.960000	2.921517
4.970000	2.921368
4.980000	2.921219
4.990000	2.921070
5.000000	2.920920
5.010000	2.920770
5.020000	2.920620
5.030000	2.920469
5.040000	2.920318
5.050000	2.920167
5.060000	2.920016
5.070000	2.919864
5.080000	2.919712
5.090000	2.919560
5.100000	2.919407
5.110000	2.919255
5.120000	2.919102
5.130000	2.918949
5.140000	2.918795
5.150000	2.918641
5.160000	2.918487
5.170000	2.918333
5.180000	2.918178
5.190000	2.918023
5.200000	2.917868
5.210000	2.917713
5.220000	2.917557
5.230000	2.917401
5.240000	2.917245
5.250000	2.917088
5.260000	2.916931
5.270000	2.916774
5.280000	2.916617
5.290000	2.916459
5.300000	2.916301
5.310000	2.916143
5.320000	2.915985
5.330000	2.915826
5.340000	2.915667
5.350000	2.915508
5.360000	2.915348
5.370000	2.915188
5.380000	2.915028
5.390000	2.914867
5.400000	2.914707
5.410000	2.914546
5.420000	2.914384
5.430000	2.914223
5.440000	2.914061
5.450000	2.913899
5.460000	2.913736
5.470000	2.913574
5.480000	2.913411
5.490000	2.913247
5.500000	2.913084
5.510000	2.912920
5.520000	2.912756
5.530000	2.912591
5.540000	2.912427
5.550000	2.912262
5.560000	2.912096
5.570000	2.911931
5.580000	2.911765
5.590000	2.911599
5.600000	2.911432
5.610000	2.911266
5.620000	2.911099
5.630000	2.910931
5.640000	2.910764
5.650000	2.910596
5.660000	2.910428
5.670000	2.910259
5.680000	2.910090
5.690000	2.909921
5.700000	2.909752
5.710000	2.909582
5.720000	2.909412
5.730000	2.909242
5.740000	2.909071
5.750000	2.908900
5.760000	2.908729
5.770000	2.908558
5.780000	2.908386
5.790000	2.908214
5.800000	2.908042
5.810000	2.907869
5.820000	2.907696
5.830000	2.907523
5.840000	2.907349
5.850000	2.907175
