tiempo	I(t)
3.190000	0.018677
3.200000	0.018713
3.210000	0.018750
3.220000	0.018786
3.230000	0.018823
3.240000	0.018859
3.250000	0.018896
3.260000	0.018933
3.270000	0.018969
3.280000	0.019006
3.290000	0.019043
3.300000	0.019080
3.310000	0.019117
3.320000	0.019155
3.330000	0.019192
3.340000	0.019229
3.350000	0.019267
3.360000	0.019304
3.370000	0.019342
3.380000	0.019379
3.390000	0.019417
3.400000	0.019455
3.410000	0.019492
3.420000	0.019530
3.430000	0.019568
3.440000	0.019606
3.450000	0.019644
3.460000	0.019683
3.470000	0.019721
3.480000	0.019759
3.490000	0.019797
3.500000	0.019836
3.510000	0.019874
3.520000	0.019913
3.530000	0.019952
3.540000	0.019990
3.550000	0.020029
3.560000	0.020068
3.570000	0.020107
3.580000	0.020146
3.590000	0.020185
3.600000	0.020224
3.610000	0.020264
3.620000	0.020303
3.630000	0.020342
3.640000	0.020382
3.650000	0.020421
3.660000	0.020461
3.670000	0.020501
3.680000	0.020541
3.690000	0.020580
3.700000	0.020620
3.710000	0.020660
3.720000	0.020700
3.730000	0.020741
3.740000	0.020781
3.750000	0.020821
3.760000	0.020862
3.770000	0.020902
3.780000	0.020943
3.790000	0.020983
3.800000	0.021024
3.810000	0.021065
3.820000	0.021105
3.830000	0.021146
3.840000	0.021187
3.850000	0.021228
3.860000	0.021270
3.870000	0.021311
3.880000	0.021352
3.890000	0.021393
3.900000	0.021435
3.910000	0.021476
3.920000	0.021518
3.930000	0.021560
3.940000	0.021601
3.950000	0.021643
3.960000	0.021685
3.970000	0.021727
3.980000	0.021769
3.990000	0.021811
4.000000	0.021854
4.010000	0.021896
4.020000	0.021938
4.030000	0.021981
4.040000	0.022023
4.050000	0.022066
4.060000	0.022109
4.070000	0.022152
4.080000	0.022194
4.090000	0.022237
4.100000	0.022280
4.110000	0.022324
4.120000	0.022367
4.130000	0.022410
4.140000	0.022453
4.150000	0.022497
4.160000	0.022540
4.170000	0.022584
4.180000	0.022628
4.190000	0.022671
4.200000	0.022715
4.210000	0.022759
4.220000	0.022803
4.230000	0.022847
4.240000	0.022891
4.250000	0.022936
4.260000	0.022980
4.270000	0.023024
4.280000	0.023069
4.290000	0.023113
4.300000	0.023158
4.310000	0.023203
4.320000	0.023248
4.330000	0.023293
4.340000	0.023338
4.350000	0.023383
4.360000	0.023428
4.370000	0.023473
4.380000	0.023518
4.390000	0.023564
4.400000	0.023609
4.410000	0.023655
4.420000	0.023701
4.430000	0.023746
4.440000	0.023792
4.450000	0.023838
4.460000	0.023884
4.470000	0.023930
4.480000	0.023976
4.490000	0.024023
4.500000	0.024069
4.510000	0.024116
4.520000	0.024162
4.530000	0.024209
4.540000	0.024255
4.550000	0.024302
4.560000	0.024349
4.570000	0.024396
4.580000	0.024443
4.590000	0.024490
4.600000	0.024537
4.610000	0.024585
4.620000	0.024632
4.630000	0.024680
4.640000	0.024727
4.650000	0.024775
4.660000	0.024823
4.670000	0.024870
4.680000	0.024918
4.690000	0.024966
4.700000	0.025014
4.710000	0.025063
4.720000	0.025111
4.730000	0.025159
4.740000	0.025208
4.750000	0.025256
4.760000	0.025305
4.770000	0.025354
4.780000	0.025403
4.790000	0.025451
4.800000	0.025500
4.810000	0.025550
4.820000	0.025599
4.830000	0.025648
4.840000	0.025697
4.850000	0.025747
4.860000	0.025796
4.870000	0.025846
4.880000	0.025896
4.890000	0.025946
4.900000	0.025996
4.910000	0.026046
4.920000	0.026096
4.930000	0.026146
4.940000	0.026196
4.950000	0.026247
4.960000	0.026297
4.970000	0.026348
4.980000	0.026398
4.990000	0.026449
5.000000	0.026500
5.010000	0.026551
5.020000	0.026602
5.030000	0.026653
5.040000	0.026704
5.050000	0.026755
5.060000	0.026807
5.070000	0.026858
5.080000	0.026910
5.090000	0.026962
5.100000	0.027013
5.110000	0.027065
5.120000	0.027117
5.130000	0.027169
5.140000	0.027222
5.150000	0.027274
5.160000	0.027326
5.170000	0.027379
5.180000	0.027431
5.190000	0.027484
5.200000	0.027537
5.210000	0.027589
5.220000	0.027642
5.230000	0.027695
5.240000	0.027749
5.250000	0.027802
5.260000	0.027855
5.270000	0.027909
5.280000	0.027962
5.290000	0.028016
5.300000	0.028069
5.310000	0.028123
5.320000	0.028177
5.330000	0.028231
5.340000	0.028285
5.350000	0.028340
5.360000	0.028394
5.370000	0.028448
5.380000	0.028503
5.390000	0.028557
5.400000	0.028612
5.410000	0.028667
5.420000	0.028722
5.430000	0.028777
5.440000	0.028832
5.450000	0.028887
5.460000	0.028943
5.470000	0.028998
5.480000	0.029054
5.490000	0.029109
5.500000	0.029165
5.510000	0.029221
5.520000	0.029277
5.530000	0.029333
5.540000	0.029389
5.550000	0.029445
5.560000	0.029501
5.570000	0.029558
5.580000	0.029614
5.590000	0.029671
5.600000	0.029728
5.610000	0.029785
5.620000	0.029842
5.630000	0.029899
5.640000	0.029956
5.650000	0.030013
5.660000	0.030070
5.670000	0.030128
5.680000	0.030186
5.690000	0.030243
5.700000	0.030301
5.710000	0.030359
5.720000	0.030417
5.730000	0.030475
5.740000	0.030533
5.750000	0.030592
5.760000	0.030650
5.770000	0.030709
5.780000	0.030767
5.790000	0.030826
5.800000	0.030885
5.810000	0.030944
5.820000	0.031003
5.830000	0.031062
5.840000	0.031121
5.850000	0.031181
5.860000	0.031240
5.870000	0.031300
5.880000	0.031359
5.890000	0.031419
5.900000	0.031479
5.910000	0.031539
5.920000	0.031599
5.930000	0.031660
5.940000	0.031720
5.950000	0.031781
5.960000	0.031841
5.970000	0.031902
5.980000	0.031963
5.990000	0.032024
6.000000	0.032085
6.010000	0.032146
6.020000	0.032207
6.030000	0.032268
6.040000	0.032330
6.050000	0.032391
6.060000	0.032453
6.070000	0.032515
6.080000	0.032577
6.090000	0.032639
6.100000	0.032701
6.110000	0.032763
6.120000	0.032826
6.130000	0.032888
6.140000	0.032951
6.150000	0.033013
6.160000	0.033076
6.170000	0.033139
6.180000	0.033202
6.190000	0.033265
6.200000	0.033329
6.210000	0.033392
6.220000	0.033455
6.230000	0.033519
6.240000	0.033583
6.250000	0.033647
6.260000	0.033711
6.270000	0.033775
6.280000	0.033839
6.290000	0.033903
6.300000	0.033967
6.310000	0.034032
6.320000	0.034097
6.330000	0.034161
6.340000	0.034226
6.350000	0.034291
6.360000	0.034356
6.370000	0.034422
6.380000	0.034487
6.390000	0.034552
6.400000	0.034618
6.410000	0.034684
6.420000	0.034750
6.430000	0.034815
6.440000	0.034882
6.450000	0.034948
6.460000	0.035014
6.470000	0.035080
6.480000	0.035147
6.490000	0.035214
6.500000	0.035280
6.510000	0.035347
6.520000	0.035414
6.530000	0.035481
6.540000	0.035549
6.550000	0.035616
6.560000	0.035683
6.570000	0.035751
6.580000	0.035819
6.590000	0.035887
6.600000	0.035955
6.610000	0.036023
6.620000	0.036091
6.630000	0.036159
6.640000	0.036228
6.650000	0.036296
6.660000	0.036365
6.670000	0.036434
6.680000	0.036503
6.690000	0.036572
6.700000	0.036641
6.710000	0.036710
6.720000	0.036780
6.730000	0.036849
6.740000	0.036919
6.750000	0.036989
6.760000	0.037059
6.770000	0.037129
6.780000	0.037199
6.790000	0.037269
6.800000	0.037340
6.810000	0.037410
6.820000	0.037481
6.830000	0.037552
6.840000	0.037623
6.850000	0.037694
6.860000	0.037765
6.870000	0.037836
6.880000	0.037908
6.890000	0.037979
6.900000	0.038051
6.910000	0.038123
6.920000	0.038195
6.930000	0.038267
6.940000	0.038339
6.950000	0.038411
6.960000	0.038484
6.970000	0.038556
6.980000	0.038629
6.990000	0.038702
7.000000	0.038775
7.010000	0.038848
7.020000	0.038921
7.030000	0.038995
7.040000	0.039068
7.050000	0.039142
7.060000	0.039216
7.070000	0.039289
7.080000	0.039363
7.090000	0.039438
7.100000	0.039512
7.110000	0.039586
7.120000	0.039661
7.130000	0.039736
7.140000	0.039810
7.150000	0.039885
7.160000	0.039960
7.170000	0.040036
7.180000	0.040111
7.190000	0.040186
7.200000	0.040262
7.210000	0.040338
7.220000	0.040413
7.230000	0.040489
7.240000	0.040566
7.250000	0.040642
7.260000	0.040718
7.270000	0.040795
7.280000	0.040871
7.290000	0.040948
7.300000	0.041025
7.310000	0.041102
7.320000	0.041179
7.330000	0.041257
7.340000	0.041334
7.350000	0.041412
7.360000	0.041490
7.370000	0.041568
7.380000	0.041646
7.390000	0.041724
7.400000	0.041802
7.410000	0.041880
7.420000	0.041959
7.430000	0.042038
7.440000	0.042117
7.450000	0.042196
7.460000	0.042275
7.470000	0.042354
7.480000	0.042433
