tb	Rc
3.190000	2.942680
3.200000	2.942566
3.210000	2.942452
3.220000	2.942338
3.230000	2.942223
3.240000	2.942108
3.250000	2.941993
3.260000	2.941878
3.270000	2.941763
3.280000	2.941647
3.290000	2.941532
3.300000	2.941416
3.310000	2.941299
3.320000	2.941183
3.330000	2.941066
3.340000	2.940949
3.350000	2.940832
3.360000	2.940715
3.370000	2.940597
3.380000	2.940480
3.390000	2.940362
3.400000	2.940243
3.410000	2.940125
3.420000	2.940006
3.430000	2.939888
3.440000	2.939769
3.450000	2.939649
3.460000	2.939530
3.470000	2.939410
3.480000	2.939290
3.490000	2.939170
3.500000	2.939050
3.510000	2.938929
3.520000	2.938808
3.530000	2.938687
3.540000	2.938566
3.550000	2.938445
3.560000	2.938323
3.570000	2.938201
3.580000	2.938079
3.590000	2.937956
3.600000	2.937834
3.610000	2.937711
3.620000	2.937588
3.630000	2.937465
3.640000	2.937341
3.650000	2.937217
3.660000	2.937093
3.670000	2.936969
3.680000	2.936845
3.690000	2.936720
3.700000	2.936595
3.710000	2.936470
3.720000	2.936345
3.730000	2.936219
3.740000	2.936094
3.750000	2.935968
3.760000	2.935841
3.770000	2.935715
3.780000	2.935588
3.790000	2.935461
3.800000	2.935334
3.810000	2.935207
3.820000	2.935079
3.830000	2.934951
3.840000	2.934823
3.850000	2.934695
3.860000	2.934566
3.870000	2.934437
3.880000	2.934308
3.890000	2.934179
3.900000	2.934050
3.910000	2.933920
3.920000	2.933790
3.930000	2.933660
3.940000	2.933529
3.950000	2.933399
3.960000	2.933268
3.970000	2.933137
3.980000	2.933005
3.990000	2.932873
4.000000	2.932742
4.010000	2.932609
4.020000	2.932477
4.030000	2.932345
4.040000	2.932212
4.050000	2.932079
4.060000	2.931945
4.070000	2.931812
4.080000	2.931678
4.090000	2.931544
4.100000	2.931410
4.110000	2.931275
4.120000	2.931140
4.130000	2.931005
4.140000	2.930870
4.150000	2.930734
4.160000	2.930599
4.170000	2.930463
4.180000	2.930326
4.190000	2.930190
4.200000	2.930053
4.210000	2.929916
4.220000	2.929779
4.230000	2.929641
4.240000	2.929504
4.250000	2.929366
4.260000	2.929227
4.270000	2.929089
4.280000	2.928950
4.290000	2.928811
4.300000	2.928672
4.310000	2.928532
4.320000	2.928393
4.330000	2.928253
4.340000	2.928112
4.350000	2.927972
4.360000	2.927831
4.370000	2.927690
4.380000	2.927549
4.390000	2.927407
4.400000	2.927265
4.410000	2.927123
4.420000	2.926981
4.430000	2.926839
4.440000	2.926696
4.450000	2.926553
4.460000	2.926409
4.470000	2.926266
4.480000	2.926122
4.490000	2.925978
4.500000	2.925833
4.510000	2.925689
4.520000	2.925544
4.530000	2.925399
4.540000	2.925253
4.550000	2.925108
4.560000	2.924962
4.570000	2.924816
4.580000	2.924669
4.590000	2.924523
4.600000	2.924376
4.610000	2.924228
4.620000	2.924081
4.630000	2.923933
4.640000	2.923785
4.650000	2.923637
4.660000	2.923488
4.670000	2.923339
4.680000	2.923190
4.690000	2.923041
4.700000	2.922891
4.710000	2.922741
4.720000	2.922591
4.730000	2.922441
4.740000	2.922290
4.750000	2.922139
4.760000	2.921988
4.770000	2.921836
4.780000	2.921685
4.790000	2.921532
4.800000	2.921380
4.810000	2.921228
4.820000	2.921075
4.830000	2.920922
4.840000	2.920768
